,words,freq
0,aback,23135851162
1,abase,13151942776
2,abate,12997637966
3,abbey,12136980858
4,abbot,9081174698
5,abhor,8469404971
6,abide,5933321709
7,abled,4705743816
8,abode,3750423199
9,abort,3400031103
10,about,3350048871
11,above,3228469771
12,abuse,3183110675
13,abyss,3086225277
14,acorn,2996181025
15,acrid,2813163874
16,actor,2633487141
17,acute,2590739907
18,adage,2398724162
19,adapt,2393614870
20,adept,2275595356
21,admin,2272272772
22,admit,2247431740
23,adobe,2062066547
24,adopt,2022459848
25,adore,1564202750
26,adorn,1551258643
27,adult,1544771673
28,affix,1518266684
29,afire,1483428678
30,afoot,1390661912
31,afoul,1356293641
32,after,1276852170
33,again,1242323499
34,agape,1229112622
35,agate,1226734006
36,agent,1134987907
37,agile,1082121730
38,aging,1059793441
39,aglow,1046319984
40,agony,1024093118
41,agora,1014107316
42,agree,999899654
43,ahead,998757982
44,aider,993536631
45,aisle,978481319
46,alarm,950751722
47,album,937112320
48,alert,932594387
49,algae,908705570
50,alibi,883223816
51,alien,844310242
52,align,842847219
53,alike,829969374
54,alive,827822032
55,allay,812395582
56,alley,810514085
57,allot,782849411
58,allow,755424983
59,alloy,741601852
60,aloft,719980257
61,alone,710741293
62,along,701170205
63,aloof,681410380
64,aloud,661844114
65,alpha,661809559
66,altar,660177731
67,alter,650621178
68,amass,645824184
69,amaze,639711198
70,amber,637134177
71,amble,630927278
72,amend,619571575
73,amiss,616829742
74,amity,611387736
75,among,611054034
76,ample,605984508
77,amply,604577485
78,amuse,602279334
79,angel,601317059
80,anger,596623239
81,angle,593086170
82,angry,578161543
83,angst,576436203
84,anime,575019382
85,ankle,572644147
86,annex,571848080
87,annoy,570699558
88,annul,566617666
89,anode,565123981
90,antic,562206804
91,anvil,548829454
92,aorta,541003982
93,apart,536746424
94,aphid,525627757
95,aping,520585287
96,apnea,519537222
97,apple,508609523
98,apply,502609275
99,apron,502043038
100,aptly,501651226
101,arbor,488967374
102,ardor,488024109
103,arena,484213771
104,argue,480303376
105,arise,480232730
106,armor,472590641
107,aroma,464532702
108,arose,462836169
109,array,459222855
110,arrow,453104133
111,arson,451092583
112,artsy,446236148
113,ascot,445315294
114,ashen,443949646
115,aside,441398439
116,askew,440416431
117,assay,437961375
118,asset,431934249
119,atoll,430847564
120,atone,425903347
121,attic,421438139
122,audio,421086358
123,audit,419765694
124,augur,419483948
125,aunty,417601616
126,avail,416210411
127,avert,414377632
128,avian,414028837
129,avoid,410780176
130,await,406908328
131,awake,405084642
132,award,403000411
133,aware,402028056
134,awash,399116355
135,awful,396975018
136,awoke,392956436
137,axial,391961061
138,axiom,390564835
139,axion,388448018
140,azure,387231739
141,bacon,384401868
142,badge,383787805
143,badly,380725892
144,bagel,380046348
145,baggy,379644437
146,baker,373906735
147,baler,373512569
148,balmy,373081242
149,banal,372948094
150,banjo,371852748
151,barge,370517038
152,baron,369928941
153,basal,366436194
154,basic,365796396
155,basil,365410017
156,basin,362082755
157,basis,361493758
158,baste,360468339
159,batch,352363058
160,bathe,352051342
161,baton,349286123
162,batty,347710184
163,bawdy,345413157
164,bayou,343057316
165,beach,342373303
166,beady,341583838
167,beard,340892856
168,beast,339926541
169,beech,339171382
170,beefy,339067778
171,befit,337841309
172,began,336631187
173,begat,334923368
174,beget,333272427
175,begin,330959949
176,begun,330505325
177,being,324272258
178,belch,323534251
179,belie,322331766
180,belle,321842984
181,belly,320105999
182,below,319376932
183,bench,318966441
184,beret,316446229
185,berry,315595259
186,berth,314593284
187,beset,314018806
188,betel,313469591
189,bevel,313296421
190,bezel,311757793
191,bible,311538382
192,bicep,311373936
193,biddy,310345867
194,bigot,310337185
195,bilge,309929179
196,billy,309676581
197,binge,307684103
198,bingo,306686983
199,biome,306559205
200,birch,306100813
201,birth,305930896
202,bison,305515604
203,bitty,305147791
204,black,304201237
205,blade,303249898
206,blame,302729303
207,bland,302311431
208,blank,301487430
209,blare,299280163
210,blast,297974790
211,blaze,297674493
212,bleak,297285731
213,bleat,296534935
214,bleed,295639201
215,bleep,294319118
216,blend,293178760
217,bless,292774716
218,blimp,291308910
219,blind,287719294
220,blink,287558448
221,bliss,287353021
222,blitz,286291411
223,bloat,286237372
224,block,284035693
225,bloke,283858893
226,blond,280827841
